,Ammonizione casa,Ammonizione fuori casa,Assist casa,Assist da fermo casa,Assist da fermo fuori casa,Assist fuori casa,Autorete casa,Autorete fuori casa,Espulsione casa,Espulsione fuori casa,Fantapunti casa,Fantapunti fuori casa,Goal casa,Goal fuori casa,Goal subito casa,Goal subito fuori casa,Malus casa,Malus fuori casa,Modulo applicato casa,Modulo applicato fuori casa,Modulo casa,Modulo fuori casa,Punti casa,Punti fuori casa,Rigore parato casa,Rigore parato fuori casa,Rigore sbagliato casa,Rigore sbagliato fuori casa,Rigore segnato casa,Rigore segnato fuori casa,Risultato,Risultato casa,Risultato fuori casa,Squadra casa,Squadra fuori casa
72,3,2,2,0,0,0,0,0,0,0,65.0,70.0,0,2,3,0,0,0,442,4231,442,4231,67.5,65.0,0,0,0,0,0,0,0-2,Sconfitta,Vittoria,Varese Veterans,AC Vostra
73,1,2,0,0,0,0,0,0,0,0,66.0,65.0,2,1,0,0,0,0,442,343,442,343,63.5,63.0,0,0,1,0,0,0,1-0,Vittoria,Sconfitta,I Porci Comodi,Anti FC
74,0,3,1,0,0,1,0,0,0,0,68.0,62.0,1,1,3,3,0,0,442,433,442,433,67.0,65.5,0,0,0,1,0,0,1-0,Vittoria,Sconfitta,Atletico Agnelli FC,Miracles Alley's Cats FC
75,4,1,2,0,0,1,0,0,0,0,71.0,66.0,1,2,1,1,0,0,4231,442,4231,442,69.0,63.5,0,0,0,1,0,0,2-1,Vittoria,Sconfitta,FC Electrosila Skingrad,I Porci Comodi
76,2,1,0,0,1,0,0,0,0,0,67.5,81.5,1,3,0,0,0,0,343,433,343,433,65.5,69.0,0,0,0,0,0,1,1-4,Sconfitta,Vittoria,Anti FC,Sturmtruppen
77,1,2,1,0,0,3,0,0,0,0,73.5,70.0,2,0,0,0,0,0,352,442,352,442,67.0,68.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Panino,Varese Veterans
78,1,1,1,0,1,0,0,0,0,1,59.5,77.0,0,2,2,0,0,0,433,4231,433,4231,61.0,68.5,0,0,0,0,0,1,0-3,Sconfitta,Vittoria,Miracles Alley's Cats FC,AC Vostra
79,1,3,0,0,0,1,0,0,0,0,62.5,59.5,0,0,1,2,0,0,442,433,442,433,64.0,62.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Atletico Agnelli FC,Sbronzi di Riace
80,1,1,1,0,0,1,0,0,0,0,70.5,67.5,1,0,1,0,0,0,433,442,433,442,68.0,67.0,0,0,0,0,0,0,2-1,Vittoria,Sconfitta,Sturmtruppen,FC Electrosila Skingrad
81,1,0,0,0,0,0,0,0,0,0,70.0,63.5,1,0,1,0,0,0,4231,352,4231,352,65.5,63.5,0,0,0,0,1,0,2-0,Vittoria,Sconfitta,AC Vostra,Panino
82,1,1,0,0,0,1,0,0,0,0,62.5,68.5,0,1,2,1,0,1,442,343,442,343,65.0,66.5,0,0,0,0,0,0,0-1,Sconfitta,Vittoria,Varese Veterans,Anti FC
83,1,1,1,1,0,1,0,0,0,0,67.5,67.5,1,0,1,0,0,0,433,433,433,433,64.0,67.0,0,0,0,0,0,0,1-1,Pareggio,Pareggio,Miracles Alley's Cats FC,Sbronzi di Riace
84,2,2,0,0,0,0,0,0,0,0,63.5,63.0,0,2,1,2,0,0,433,442,433,442,65.5,60.0,0,0,0,0,0,0,0-0,Pareggio,Pareggio,I Porci Comodi,Atletico Agnelli FC
85,2,2,0,0,0,1,0,0,0,0,75.5,66.0,3,1,0,2,0,0,433,433,433,433,67.5,65.0,0,0,0,0,0,0,3-1,Vittoria,Sconfitta,Sbronzi di Riace,I Porci Comodi
86,3,0,0,0,0,0,1,0,0,0,76.5,63.5,5,0,3,1,0,0,352,442,352,442,69.0,64.5,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,FC Electrosila Skingrad,Varese Veterans
87,1,1,1,0,0,1,0,0,0,0,70.5,70.5,1,1,0,1,1,0,343,4231,343,4231,67.5,68.0,0,0,0,0,0,0,2-2,Pareggio,Pareggio,Anti FC,AC Vostra
88,0,0,2,1,0,2,0,0,0,0,76.0,57.0,2,0,2,0,0,0,442,433,442,433,69.0,55.0,0,0,0,0,0,0,3-0,Vittoria,Sconfitta,Panino,Miracles Alley's Cats FC
89,2,0,0,0,0,1,0,0,0,0,63.5,64.5,0,0,1,1,0,0,442,433,442,433,65.5,64.5,0,0,0,0,0,0,0-0,Pareggio,Pareggio,Atletico Agnelli FC,Sturmtruppen
